num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,32,64,3,Vanilla,780664,70286,12000,210322,2.992374
12000,32,64,3,Vanilla,777385,50627,11996,151827,2.9989333
12000,32,64,3,Vanilla,772057,49530,11986,148527,2.998728
12000,32,64,3,Vanilla,764696,59346,11998,177704,2.994372
12000,32,64,3,Vanilla,771805,39258,11976,117755,2.999516
12000,32,64,3,Vanilla,772942,37580,11947,112721,2.9994943
12000,32,64,3,Vanilla,774518,58028,11991,173908,2.996967
12000,32,64,3,Vanilla,771479,69398,12000,207414,2.9887605
12000,32,64,3,Vanilla,773526,73221,12000,218473,2.9837477
12000,32,64,3,Vanilla,776330,78066,11995,232770,2.9817078
12000,32,64,3,Vanilla,780735,77368,11998,230753,2.982538
12000,32,64,3,Vanilla,773692,66647,11999,199435,2.9924078
12000,32,64,3,Vanilla,773155,62307,11995,186573,2.9944148
12000,32,64,3,Vanilla,772616,57104,11998,171008,2.9946764
12000,32,64,3,Vanilla,770572,68132,11997,203773,2.990856
12000,32,64,3,Vanilla,771888,63243,11997,189407,2.9949086
12000,32,64,3,Vanilla,777418,64095,11998,191958,2.994898
12000,32,64,3,Vanilla,773784,77148,11999,230314,2.9853528
12000,32,64,3,Vanilla,769759,74838,12000,223386,2.9849274
12000,32,64,3,Vanilla,773732,73002,11999,217844,2.9840827
12000,32,64,3,Vanilla,774891,67831,11997,202802,2.9898129
12000,32,64,3,Vanilla,778543,47157,11986,141359,2.9976249
12000,32,64,3,Vanilla,772611,58359,11991,174707,2.99366
12000,32,64,3,Vanilla,771758,59779,11997,179159,2.9970224
12000,32,64,3,Vanilla,773427,61411,11999,183954,2.995457
12000,32,64,3,Vanilla,780289,56424,11990,169097,2.9968984
12000,32,64,3,Vanilla,776855,50276,11989,150659,2.9966385
12000,32,64,3,Vanilla,772266,63535,11994,190156,2.992933
12000,32,64,3,Vanilla,771573,74651,11999,222654,2.982599
12000,32,64,3,Vanilla,777040,65441,11998,195823,2.9923596
12000,32,64,3,Vanilla,767996,70582,12000,210897,2.9879715
12000,32,64,3,Vanilla,774673,64114,12000,191948,2.9938548
12000,32,64,3,Vanilla,769646,53586,11993,160639,2.9977794
12000,32,64,3,Vanilla,783769,60693,11998,181717,2.9940355
12000,32,64,3,Vanilla,768710,59909,11997,179545,2.996962
12000,32,64,3,Vanilla,772723,73947,11998,220644,2.9838128
12000,32,64,3,Vanilla,776001,69732,11999,208533,2.990492
12000,32,64,3,Vanilla,773173,56249,11995,168585,2.99712
12000,32,64,3,Vanilla,777218,42794,11985,128316,2.9984577
12000,32,64,3,Vanilla,768806,77492,11997,230941,2.9801915
12000,32,64,3,Vanilla,773861,84013,11998,249791,2.9732423
12000,32,64,3,Vanilla,775289,63130,11995,189082,2.9951212
12000,32,64,3,Vanilla,768319,43200,11976,129586,2.999676
12000,32,64,3,Vanilla,775990,65347,11999,195472,2.9912927
12000,32,64,3,Vanilla,774976,50142,11996,150365,2.9987833
12000,32,64,3,Vanilla,778305,72740,12000,217268,2.9869123
12000,32,64,3,Vanilla,785186,67667,11997,202367,2.9906306
12000,32,64,3,Vanilla,775911,58171,11996,174339,2.9970088
12000,32,64,3,Vanilla,771341,76150,12000,226921,2.979921
12000,32,64,3,Vanilla,774020,64308,11999,192634,2.9954906
12000,32,64,3,Vanilla,771680,73292,11994,219105,2.9894805
12000,32,64,3,Vanilla,775156,60768,11993,182007,2.9951127
12000,32,64,3,Vanilla,774429,70874,11997,211883,2.989573
12000,32,64,3,Vanilla,776286,68779,11999,205673,2.990346
12000,32,64,3,Vanilla,774833,53404,11995,160111,2.9981089
12000,32,64,3,Vanilla,777454,64732,11998,193685,2.992106
12000,32,64,3,Vanilla,771912,68874,11998,205841,2.9886603
12000,32,64,3,Vanilla,773634,52901,11992,158545,2.9970133
12000,32,64,3,Vanilla,782175,44380,11986,133093,2.998941
12000,32,64,3,Vanilla,773307,58618,11992,175643,2.9964004
12000,32,64,3,Vanilla,780670,70921,11999,212015,2.989453
12000,32,64,3,Vanilla,767428,69977,11993,209202,2.9895823
12000,32,64,3,Vanilla,774372,53104,11990,159106,2.996121
12000,32,64,3,Vanilla,770178,63847,11993,191045,2.9922314
12000,32,64,3,Vanilla,772767,73343,11996,219111,2.9874835
12000,32,64,3,Vanilla,777310,73123,11998,218443,2.9873364
12000,32,64,3,Vanilla,777087,65277,11999,195305,2.991942
12000,32,64,3,Vanilla,775534,75282,11998,224823,2.986411
12000,32,64,3,Vanilla,774838,58581,11996,175538,2.9965005
12000,32,64,3,Vanilla,775830,57019,11998,170813,2.9957206
12000,32,64,3,Vanilla,773199,55180,11994,165326,2.996122
12000,32,64,3,Vanilla,771368,53678,11986,160906,2.9976153
12000,32,64,3,Vanilla,767954,58052,11992,173923,2.9959865
12000,32,64,3,Vanilla,782111,59288,11995,177570,2.9950411
