num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,32,64,3,Vanilla,775973,51246,11989,153675,2.9987707
12000,32,64,3,Vanilla,772213,72892,11998,217785,2.9877765
12000,32,64,3,Vanilla,773733,70732,11998,211388,2.9885767
12000,32,64,3,Vanilla,775655,77906,12000,231981,2.9777038
12000,32,64,3,Vanilla,769196,53057,11990,159028,2.9973047
12000,32,64,3,Vanilla,780037,63881,11996,191127,2.9919224
12000,32,64,3,Vanilla,773679,80942,12000,240851,2.9755998
12000,32,64,3,Vanilla,776239,63549,11999,190172,2.9925253
12000,32,64,3,Vanilla,775595,68717,11997,205399,2.9890566
12000,32,64,3,Vanilla,780809,77371,12000,230894,2.9842448
12000,32,64,3,Vanilla,779137,69122,11999,206755,2.9911606
12000,32,64,3,Vanilla,775782,71098,11999,212573,2.989859
12000,32,64,3,Vanilla,774847,71803,12000,214669,2.989694
12000,32,64,3,Vanilla,775603,61725,11994,184736,2.9928877
12000,32,64,3,Vanilla,769680,53272,11997,159710,2.9980102
12000,32,64,3,Vanilla,775383,65624,11996,196229,2.9902017
12000,32,64,3,Vanilla,773891,56931,11990,170544,2.9956262
12000,32,64,3,Vanilla,774790,68859,12000,205958,2.9910107
12000,32,64,3,Vanilla,767311,51666,11991,154872,2.9975612
12000,32,64,3,Vanilla,776794,49148,11983,147401,2.999125
12000,32,64,3,Vanilla,770022,60075,11998,179949,2.9954057
12000,32,64,3,Vanilla,773469,76113,11999,227023,2.98271
12000,32,64,3,Vanilla,773087,67366,11998,201290,2.9880059
12000,32,64,3,Vanilla,776071,67573,11994,202225,2.9926894
12000,32,64,3,Vanilla,774953,75920,12000,226449,2.9827318
12000,32,64,3,Vanilla,773174,72179,11995,215757,2.9891934
12000,32,64,3,Vanilla,771092,60719,11997,181969,2.9969037
12000,32,64,3,Vanilla,776007,56290,11999,168772,2.998259
12000,32,64,3,Vanilla,774441,52517,11990,157363,2.9964201
12000,32,64,3,Vanilla,779238,76059,12000,226914,2.9833944
12000,32,64,3,Vanilla,773667,58849,11996,176265,2.995208
12000,32,64,3,Vanilla,773854,63873,11995,191116,2.992125
12000,32,64,3,Vanilla,772398,50778,11994,152270,2.9987397
12000,32,64,3,Vanilla,763874,64304,11999,192543,2.9942617
12000,32,64,3,Vanilla,774892,62817,11999,188113,2.9946194
12000,32,64,3,Vanilla,774830,74355,11998,222056,2.98643
12000,32,64,3,Vanilla,774816,43238,11983,129657,2.9986818
12000,32,64,3,Vanilla,770780,54012,11986,161821,2.9960194
12000,32,64,3,Vanilla,770028,73453,11999,219323,2.9858956
12000,32,64,3,Vanilla,775734,57509,11995,172354,2.9969919
12000,32,64,3,Vanilla,770905,66225,12000,197979,2.9894903
12000,32,64,3,Vanilla,770036,61210,11998,183282,2.9943147
12000,32,64,3,Vanilla,776195,79394,12000,236461,2.9783232
12000,32,64,3,Vanilla,772599,69435,11999,207642,2.9904516
12000,32,64,3,Vanilla,773541,51991,11996,155902,2.9986343
12000,32,64,3,Vanilla,772287,81109,11998,241548,2.9780664
12000,32,64,3,Vanilla,778851,54044,11993,162038,2.9982607
12000,32,64,3,Vanilla,769626,55574,11991,166557,2.997031
12000,32,64,3,Vanilla,775187,66871,11995,200178,2.993495
12000,32,64,3,Vanilla,777552,65776,11998,196877,2.9931433
12000,32,64,3,Vanilla,775103,44759,11990,134223,2.9987936
12000,32,64,3,Vanilla,775683,76903,12000,229416,2.9831867
12000,32,64,3,Vanilla,775457,74780,11999,223335,2.9865606
12000,32,64,3,Vanilla,769384,77328,12000,230493,2.9807186
12000,32,64,3,Vanilla,768751,60594,11997,181503,2.9953957
12000,32,64,3,Vanilla,775002,64954,12000,194313,2.9915478
12000,32,64,3,Vanilla,779667,71361,11999,213424,2.9907653
12000,32,64,3,Vanilla,774624,71669,11999,213885,2.9843447
12000,32,64,3,Vanilla,779310,77594,12000,231352,2.9815707
12000,32,64,3,Vanilla,769436,72713,11999,217060,2.9851608
12000,32,64,3,Vanilla,782104,78149,11999,232482,2.9748557
12000,32,64,3,Vanilla,777282,63987,11996,191439,2.991842
12000,32,64,3,Vanilla,766153,66119,11993,197814,2.9917874
12000,32,64,3,Vanilla,774928,71142,11999,212498,2.9869556
12000,32,64,3,Vanilla,778172,61804,11995,184955,2.9926057
12000,32,64,3,Vanilla,774417,67577,12000,202129,2.9910917
12000,32,64,3,Vanilla,771865,52911,11994,158628,2.9980156
12000,32,64,3,Vanilla,770313,58824,11996,176214,2.995614
12000,32,64,3,Vanilla,770541,52485,11986,157354,2.9980757
12000,32,64,3,Vanilla,777485,60262,11993,180548,2.9960506
12000,32,64,3,Vanilla,773363,63874,11997,191245,2.9940977
12000,32,64,3,Vanilla,770334,51326,11987,153847,2.9974477
12000,32,64,3,Vanilla,772734,54384,11984,163018,2.997536
12000,48,64,3,Vanilla,773344,74012,11999,221880,2.9978921
12000,48,64,3,Vanilla,774573,66751,12000,200063,2.9971535
12000,48,64,3,Vanilla,774492,73672,12000,220700,2.9957106
12000,48,64,3,Vanilla,772133,68888,11999,206525,2.9979823
12000,48,64,3,Vanilla,774290,70438,12000,211245,2.9990203
12000,48,64,3,Vanilla,773248,68863,11999,206441,2.997851
12000,48,64,3,Vanilla,775158,66348,11998,198854,2.9971364
12000,48,64,3,Vanilla,774116,85091,11997,255003,2.996827
12000,48,64,3,Vanilla,774648,79946,11999,239494,2.995697
12000,48,64,3,Vanilla,774291,95959,11999,286964,2.9904854
12000,48,64,3,Vanilla,776305,58950,11992,176797,2.999101
12000,48,64,3,Vanilla,772520,87323,12000,261347,2.992877
12000,48,64,3,Vanilla,774394,60049,11999,180081,2.998901
12000,48,64,3,Vanilla,777080,69855,12000,209385,2.9974232
12000,48,64,3,Vanilla,774922,83345,11998,249651,2.9953926
12000,48,64,3,Vanilla,770494,80086,11998,240003,2.996816
12000,48,64,3,Vanilla,772559,73807,11999,221248,2.997656
12000,48,64,3,Vanilla,774745,70728,11996,212018,2.997653
12000,48,64,3,Vanilla,775086,53223,11991,159642,2.9994926
12000,48,64,3,Vanilla,771855,54630,11994,163861,2.999469
12000,48,64,3,Vanilla,774919,75335,12000,225837,2.99777
12000,48,64,3,Vanilla,772848,67482,11997,202376,2.9989626
12000,48,64,3,Vanilla,775400,90637,12000,271318,2.9934573
12000,48,64,3,Vanilla,775948,74737,11997,224006,2.997257
12000,48,64,3,Vanilla,775516,69724,11999,208956,2.996902
12000,48,64,3,Vanilla,777003,100838,12000,301196,2.9869294
12000,48,64,3,Vanilla,773099,66331,11998,198867,2.9981005
12000,48,64,3,Vanilla,775482,53581,11985,160701,2.999216
12000,48,64,3,Vanilla,775290,74543,12000,223303,2.9956267
12000,48,64,3,Vanilla,774849,66377,11993,198939,2.9971075
12000,48,64,3,Vanilla,773194,84162,12000,252197,2.996566
12000,48,64,3,Vanilla,772582,58645,11997,175814,2.9979367
12000,48,64,3,Vanilla,775444,77109,12000,231111,2.9971988
12000,48,64,3,Vanilla,774830,71510,11995,214316,2.9970074
12000,48,64,3,Vanilla,774804,69245,11997,207655,2.9988446
12000,48,64,3,Vanilla,775502,84335,12000,252770,2.9972136
12000,48,64,3,Vanilla,774143,90719,11998,271575,2.9935846
12000,48,64,3,Vanilla,774681,82970,12000,248547,2.995625
12000,48,64,3,Vanilla,773288,78092,12000,233873,2.9948394
12000,48,64,3,Vanilla,772609,97105,12000,290437,2.9909582
12000,48,64,3,Vanilla,773660,69146,11999,207226,2.996934
12000,48,64,3,Vanilla,772847,68250,11995,204627,2.9981978
12000,48,64,3,Vanilla,774255,54368,11983,163037,2.9987676
12000,48,64,3,Vanilla,774326,76023,11999,227821,2.9967377
12000,48,64,3,Vanilla,772356,74758,12000,223922,2.9952915
12000,48,64,3,Vanilla,775281,58666,11993,175961,2.9993694
12000,48,64,3,Vanilla,776766,87801,11998,262873,2.9939637
12000,48,64,3,Vanilla,773504,60070,11998,180110,2.9983354
12000,48,64,3,Vanilla,774378,76869,11998,230460,2.9980876
12000,48,64,3,Vanilla,771569,75224,11996,225265,2.9945896
12000,48,64,3,Vanilla,772653,65743,11995,197080,2.9977336
12000,48,64,3,Vanilla,774915,56452,11990,169303,2.999061
12000,48,64,3,Vanilla,773657,89034,12000,266557,2.9938788
12000,48,64,3,Vanilla,771319,70259,11998,210572,2.9970822
12000,48,64,3,Vanilla,774919,93152,12000,278723,2.9921312
12000,48,64,3,Vanilla,774563,55198,11998,165569,2.999547
12000,48,64,3,Vanilla,773999,85422,12000,255788,2.9944043
12000,48,64,3,Vanilla,774400,78195,11999,234249,2.995703
12000,48,64,3,Vanilla,773437,76048,12000,227877,2.996489
12000,48,64,3,Vanilla,774033,77749,12000,232891,2.9954212
12000,48,64,3,Vanilla,773220,59009,11998,176989,2.999356
12000,48,64,3,Vanilla,772416,59482,11995,178400,2.9992266
12000,48,64,3,Vanilla,775641,63041,11998,189029,2.998509
12000,48,64,3,Vanilla,772899,77867,11996,233250,2.9954922
12000,48,64,3,Vanilla,775542,101791,12000,303951,2.98603
12000,48,64,3,Vanilla,775084,87293,12000,261408,2.9946043
12000,48,64,3,Vanilla,774135,83478,11999,250049,2.995388
12000,48,64,3,Vanilla,777828,56632,11989,169857,2.9993114
12000,48,64,3,Vanilla,772700,86220,11998,258322,2.9960797
12000,48,64,3,Vanilla,774566,74467,11995,223195,2.9972336
12000,48,64,3,Vanilla,776003,61783,11998,185248,2.9983652
